pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AL	NC_063213.1	11700001	11800000	0.0003749822171141	82101	102252	272684931	1492150
AL	NC_063213.1	11800001	11900000	0.0004887496065389	82386	123569	252826802	1748820
AL	NC_063213.1	11900001	12000000	0.0001505857583013	82699	37909	251743594	1782632
AL	NC_063213.1	12000001	12100000	0.0002075594091333	81528	55797	268824238	1503276
AL	NC_063213.1	12100001	12200000	0.0004849924275055	82302	125873	259536011	1663626
AL	NC_063213.1	12200001	12300000	0.0003080367441958	82180	79195	257095952	1688416
AL	NC_063213.1	12300001	12400000	0.0002625618465176	78457	63131	240442398	1671840
AL	NC_063213.1	12400001	12500000	0.0006623831326549	80289	158931	239938175	1787838
AL	NC_063213.1	12500001	12600000	0.0005420695170513	82163	133818	246865016	1813484
AL	NC_063213.1	12600001	12700000	0.0006157806787668	79680	154375	250698025	1620134
AL	NC_063213.1	12700001	12800000	0.0004550913988355	79897	108315	238007135	1789046
AL	NC_063213.1	12800001	12900000	0.0005795501700866	82930	144505	249339932	1825248
AL	NC_063213.1	12900001	13000000	0.0004014250725494	82205	102269	254764854	1715320
AL	NC_063213.1	13000001	13100000	0.0006034328498952	84088	156128	258733014	1778476
AL	NC_063213.1	13100001	13200000	0.0004835519834491	77452	121870	252030814	1472868
AL	NC_063213.1	13200001	13300000	0.0005226312790572	80534	135645	259542445	1558766
AL	NC_063213.1	13300001	13400000	0.000235369813586	79931	63800	271062797	1384562
AL	NC_063213.1	13400001	13500000	0.0005569300123477	81513	151428	271897719	1469638
AL	NC_063213.1	13500001	13600000	0.000462701897111	82443	122515	264781711	1606654
AL	NC_063213.1	13600001	13700000	0.0005728308677349	81408	152979	267057885	1515934
AL	NC_063213.1	13700001	13800000	0.0005866030817739	79441	149840	255436776	1544300
AL	NC_063213.1	13800001	13900000	0.0004151184404836	84305	112077	269988006	1653208
AL	NC_063213.1	13900001	14000000	0.0002956695421921	83507	75006	253681862	1804624
AL	NC_063213.1	14000001	14100000	0.0003089587560661	85835	84061	272078387	1715614
AL	NC_063213.1	14100001	14200000	0.0002981969628689	81760	79152	265435299	1556410
AL	NC_063213.1	14200001	14300000	0.0003304929014086	86344	91727	277546052	1681224
AL	NC_063213.1	14300001	14400000	0.0004649785783263	80327	117259	252181510	1633248
AL	NC_063213.1	14400001	14500000	0.0004356022615919	83423	123305	283067860	1444836
AL	NC_063213.1	14500001	14600000	0.0004332785038859	84223	120721	278622177	1543658
AL	NC_063213.1	14600001	14700000	0.0003415962261432	83738	100788	295050098	1323756
AL	NC_063213.1	14700001	14800000	0.0004840106435387	77392	124936	258126555	1393314
AL	NC_063213.1	14800001	14900000	0.0004395244791398	82433	119823	272619628	1509164
AL	NC_063213.1	14900001	15000000	0.0002644297586765	85157	74710	282532497	1552202
AL	NC_063213.1	15000001	15100000	0.0005602489630207	82313	157643	281380262	1401680
AL	NC_063213.1	15100001	15200000	0.000555580188239	84457	153271	275875568	1588476
AL	NC_063213.1	15200001	15300000	0.0004759432438589	85399	128394	269767460	1718100
AL	NC_063213.1	15300001	15400000	0.0005640439084391	81559	163885	290553621	1245530
AL	NC_063213.1	15400001	15500000	0.000602308572797	85927	188703	313299542	1222968
AL	NC_063213.1	15500001	15600000	0.0003789041870995	83190	112131	295934972	1276848
AL	NC_063213.1	15600001	15700000	0.0001789688091029	84773	52669	294291504	1384212
AL	NC_063213.1	15700001	15800000	0.0001384684021552	83601	38601	278771181	1501546
AL	NC_063213.1	15800001	15900000	0.0001641898378582	81468	48638	296230270	1172660
AL	NC_063213.1	15900001	16000000	0.0001598828834437	84464	45016	281556093	1520838
AL	NC_063213.1	16000001	16100000	0.0002977844555111	76619	77674	260839673	1316522
AL	NC_063213.1	16100001	16200000	0.0003155512162552	82496	81872	259457089	1675902
AL	NC_063213.1	16200001	16300000	0.0001810244678212	83511	49791	275051216	1547580
AL	NC_063213.1	16300001	16400000	0.0003954172375026	85998	110204	278703075	1642418
AL	NC_063213.1	16400001	16500000	0.0004077312667993	66660	93171	228510805	1127734
AL	NC_063213.1	16500001	16600000	0.0005160138457049	82236	147221	285304360	1352752
AL	NC_063213.1	16600001	16700000	0.0003531860492936	84457	98590	279144661	1551042
AL	NC_063213.1	16700001	16800000	0.0003415554473361	77451	88846	260121748	1373292
AL	NC_063213.1	16800001	16900000	0.0003383466768431	84712	93952	277679689	1585182
AL	NC_063213.1	16900001	17000000	0.0005269465900001	83855	143119	271600581	1608378
AL	NC_063213.1	17000001	17100000	0.0007089801881447	81260	189521	267314945	1506902
AL	NC_063213.1	17100001	17200000	0.0003482729954289	85169	98371	282453711	1552854
AL	NC_063213.1	17200001	17300000	0.000337736226674	84565	86656	256578931	1831222
AL	NC_063213.1	17300001	17400000	0.0004078154344299	83123	117286	287595785	1371698
AL	NC_063213.1	17400001	17500000	0.0003529978266799	80023	94085	266531386	1444248
AL	NC_063213.1	17500001	17600000	0.0005395238361473	79000	144315	267485865	1374742
AL	NC_063213.1	17600001	17700000	0.0005295262852342	85110	147421	278401666	1593900
AL	NC_063213.1	17700001	17800000	0.000338577721319	82264	92855	274250177	1480054
AL	NC_063213.1	17800001	17900000	0.0003949256288349	83691	109752	277905489	1519386
AL	NC_063213.1	17900001	18000000	0.0006465121915495	80875	176023	272265554	1424112
AL	NC_063213.1	18000001	18100000	0.0005988481511879	83590	168520	281406897	1471846
AL	NC_063213.1	18100001	18200000	0.0006236872001949	73940	164579	263880676	1130936
AL	NC_063213.1	18200001	18300000	0.0005163027844321	80422	133112	257817707	1577154
AL	NC_063213.1	18300001	18400000	0.0005310436598594	84171	137929	259731940	1771684
AL	NC_063213.1	18400001	18500000	0.0003100205092866	84477	90355	291448460	1405524
AL	NC_063213.1	18500001	18600000	0.0002295440288061	80624	65044	283361760	1280104
AL	NC_063213.1	18600001	18700000	0.0004115691149811	82871	106349	258398884	1712132
AL	NC_063213.1	18700001	18800000	0.0001897045052335	80973	48897	257753499	1604366
AL	NC_063213.1	18800001	18900000	0.0001940725960435	79759	53920	277834177	1301154
AL	NC_063213.1	18900001	19000000	0.0002933362636095	81293	83002	282958537	1323426
AL	NC_063213.1	19000001	19100000	0.0005400314251258	77378	136849	253409327	1449298
AL	NC_063213.1	19100001	19200000	0.0002200581133781	80440	53440	242844943	1759458
AL	NC_063213.1	19200001	19300000	0.0005937303712794	80005	147998	249268030	1653360
AL	NC_063213.1	19300001	19400000	0.0003586018508203	80584	87894	245101914	1739412
AL	NC_063213.1	19400001	19500000	0.0001055674662384	81487	25347	240102381	1856994
AL	NC_063213.1	19500001	19600000	0.0004345031724473	77555	106929	246094866	1549432
AL	NC_063213.1	19600001	19700000	0.0001481171369479	81861	37905	255912319	1685014
AL	NC_063213.1	19700001	19800000	0.0007221214668443	79789	170971	236762107	1797646
AL	NC_063213.1	19800001	19900000	0.0003516324644693	76947	80689	229469711	1719118
AL	NC_063213.1	19900001	20000000	0.0003754824460694	80307	91501	243689155	1742662
AL	NC_063213.1	20000001	20100000	0.000589741534373	73455	139888	237202218	1420168
AL	NC_063213.1	20100001	20200000	0.0005249342665216	78751	127528	242940894	1659024
AL	NC_063213.1	20200001	20300000	0.0006047321870897	79869	144928	239656501	1766146
AL	NC_063213.1	20300001	20400000	0.0004565343072914	74903	106774	233879466	1543168
AL	NC_063213.1	20400001	20500000	0.000371777480424	82141	90024	242144844	1869956
AL	NC_063213.1	20500001	20600000	0.0005620668311307	81578	142736	253948449	1691086
AL	NC_063213.1	20600001	20700000	0.0005266658861697	82367	133562	253599110	1738584
AL	NC_063213.1	20700001	20800000	0.0003462174336409	83379	88338	255151796	1780132
AL	NC_063213.1	20800001	20900000	0.0003943234603897	82246	110066	279126177	1427766
AL	NC_063213.1	20900001	21000000	0.0005993817944674	81100	156235	260660236	1583824
AL	NC_063213.1	21000001	21100000	0.0005544700911523	84107	152756	275499080	1577828
AL	NC_063213.1	21100001	21200000	0.0003419093848425	86290	99324	290498022	1515356
AL	NC_063213.1	21200001	21300000	0.0003224381640758	78694	86476	268194059	1346922
AL	NC_063213.1	21300001	21400000	0.0003134820843995	84419	83630	266777606	1697024
AL	NC_063213.1	21400001	21500000	0.0002303619469576	81275	65207	283063244	1317372
AL	NC_063213.1	21500001	21600000	0.0004882807736936	83669	145662	298316067	1280958
AL	NC_063213.1	21600001	21700000	0.000488349613679	81197	134633	275689785	1401994
AL	NC_063213.1	21700001	21800000	0.0002784123591802	83138	73558	264205225	1654702
AL	NC_063213.1	21800001	21900000	0.0006902365307131	83441	173263	251019748	1833908
AL	NC_063213.1	21900001	22000000	0.0006503061876003	82062	177548	273022160	1487128
AL	NC_063213.1	22000001	22100000	0.0004568241269672	81701	119141	260802775	1612910
AL	NC_063213.1	22100001	22200000	0.0006440532955017	80234	167155	259535975	1547338
AL	NC_063213.1	22200001	22300000	0.0007727930788108	67606	174670	226024281	1209262
AL	NC_063213.1	22300001	22400000	0.0006847202609341	74649	181675	265327332	1148004
AL	NC_063213.1	22400001	22500000	0.0004720434977919	71050	121910	258260098	1027396
AL	NC_063213.1	22500001	22600000	0.0009647548393315	66813	225447	233683202	1072744
AL	NC_063213.1	22600001	22700000	0.0004388386158304	77818	110437	251657434	1496108
AL	NC_063213.1	22700001	22800000	0.0008566563282521	70958	218145	254647042	1061396
AL	NC_063213.1	22800001	22900000	0.0007990249068891	64178	182570	228491000	985680
AL	NC_063213.1	22900001	23000000	0.0004912924840572	73681	116764	237666978	1425088
AL	NC_063213.1	23000001	23100000	0.0003131436534946	74346	77042	246027659	1362722
AL	NC_063213.1	23100001	23200000	0.0002813976824787	78755	72160	256434237	1491074
AL	NC_063213.1	23200001	23300000	0.0005387761508539	79433	138855	257722989	1516834
AL	NC_063213.1	23300001	23400000	0.0002312899167961	73948	62678	270993223	1044850
AL	NC_063213.1	23400001	23500000	0.0007221866205032	67314	172425	238754077	1044902
AL	NC_063213.1	23500001	23600000	0.0004392127261932	71260	102010	232256476	1348888
AL	NC_063213.1	23600001	23700000	0.0006018614685238	73134	139594	231937094	1460932
AL	NC_063213.1	23700001	23800000	0.0006580514600177	74417	158845	241386897	1422098
AL	NC_063213.1	23800001	23900000	0.0005236039014645	76311	125474	239635342	1556216
AL	NC_063213.1	23900001	24000000	0.0008308501551031	75365	205890	247806417	1398674
AL	NC_063213.1	24000001	24100000	0.0004783415932784	77023	121776	254579576	1415980
AL	NC_063213.1	24100001	24200000	0.0008481585004418	76247	212923	251041521	1414482
AL	NC_063213.1	24200001	24300000	0.0005430587558485	81340	140970	259585171	1607330
AL	NC_063213.1	24300001	24400000	0.0005069564323171	73514	127509	251518655	1250682
AL	NC_063213.1	24400001	24500000	0.0008069500176345	71838	200409	248353672	1190760
AL	NC_063213.1	24500001	24600000	0.0007040659398946	71888	177272	251783235	1150442
AL	NC_063213.1	24600001	24700000	0.0007956464748657	62003	182398	229245030	850512
AL	NC_063213.1	24700001	24800000	0.0007434079684627	71783	193034	259660924	1051420
AL	NC_063213.1	24800001	24900000	0.0006110913369983	74934	167240	273674310	1068228
AL	NC_063213.1	24900001	25000000	0.0002001621172184	79324	51402	256801840	1523088
AL	NC_063213.1	25000001	25100000	0.0001517140634252	76269	37793	249106768	1435276
AL	NC_063213.1	25100001	25200000	0.0008979784879965	77906	237958	264992985	1343278
AL	NC_063213.1	25200001	25300000	0.0008516562183653	74613	210457	247114969	1368154
AL	NC_063213.1	25300001	25400000	0.0005213947801806	80469	145935	279893481	1309890
AL	NC_063213.1	25400001	25500000	0.000514786273513	76438	126865	246442080	1480528
AL	NC_063213.1	25500001	25600000	0.0004230661273059	83867	106857	252577536	1840204
AL	NC_063213.1	25600001	25700000	0.0006602277572992	81100	163063	246979922	1745556
AL	NC_063213.1	25700001	25800000	0.000615895854969	81931	161045	261480896	1618708
AL	NC_063213.1	25800001	25900000	0.0002510264983279	78685	65903	262534037	1418466
AL	NC_063213.1	25900001	26000000	0.0004838450086856	80350	125941	260292031	1543186
AL	NC_063213.1	26000001	26100000	0.0005645785013322	73423	134628	238457539	1401862
AL	NC_063213.1	26100001	26200000	0.0006106987134096	76989	157865	258498989	1369218
AL	NC_063213.1	26200001	26300000	0.00051926558281	78303	125672	242018736	1644732
AL	NC_063213.1	26300001	26400000	0.0004554668475244	84531	118534	260247262	1783024
AL	NC_063213.1	26400001	26500000	0.0003615829444111	80376	92036	254536342	1611644
AL	NC_063213.1	26500001	26600000	0.0004496930834825	83075	117209	260642212	1693284
AL	NC_063213.1	26600001	26700000	0.0004322262457965	84350	117979	272956585	1616302
AL	NC_063213.1	26700001	26800000	0.000229148926938	86182	61381	267865099	1785002
AL	NC_063213.1	26800001	26900000	0.0003076886589194	82879	83652	271872224	1545028
AL	NC_063213.1	26900001	27000000	0.0004188501296809	83628	112701	269072377	1622630
AL	NC_063213.1	27000001	27100000	0.000411764472235	83316	113204	274924156	1532896
AL	NC_063213.1	27100001	27200000	0.0005202494926924	79260	139580	268294351	1379522
AL	NC_063213.1	27200001	27300000	0.0006481401846738	85265	179983	277691469	1613890
AL	NC_063213.1	27300001	27400000	0.0005965580842141	85195	161344	270458157	1696026
AL	NC_063213.1	27400001	27500000	0.0005730050540346	83260	159796	278873631	1484434
AL	NC_063213.1	27500001	27600000	0.0004780393380826	77704	126539	264704157	1333470
AL	NC_063213.1	27600001	27700000	0.0004761196533826	82354	129543	272080766	1510444
AL	NC_063213.1	27700001	27800000	0.0005789564991621	80300	157247	271604171	1398626
AL	NC_063213.1	27800001	27900000	0.0005763107293603	85657	159438	276652840	1645140
AL	NC_063213.1	27900001	28000000	0.000283529281506	83731	79671	280997432	1483004
AL	NC_063213.1	28000001	28100000	0.0005349692014806	83711	147827	276328057	1537874
AL	NC_063213.1	28100001	28200000	0.0004311648510003	79321	116003	269045586	1375432
AL	NC_063213.1	28200001	28300000	0.0004871970845281	77913	125081	256735937	1438338
AL	NC_063213.1	28300001	28400000	0.0003583226228972	81005	91051	254103409	1652898
AL	NC_063213.1	28400001	28500000	0.0004240730349239	75646	106043	250058342	1387684
AL	NC_063213.1	28500001	28600000	0.0005483598878053	79901	140179	255633213	1568506
AL	NC_063213.1	28600001	28700000	0.0004858866399803	82275	122558	252235789	1750162
AL	NC_063213.1	28700001	28800000	0.0004616738337881	78862	112261	243160846	1664316
AL	NC_063213.1	28800001	28900000	0.0007201843587358	77515	179792	249647188	1502108
AL	NC_063213.1	28900001	29000000	0.0005645312794393	76821	136288	241417978	1565928
AL	NC_063213.1	29000001	29100000	0.0007110509097588	79994	164095	230778131	1886594
AL	NC_063213.1	29100001	29200000	0.0004396516241914	78314	105769	240574569	1662902
AL	NC_063213.1	29200001	29300000	0.0004722124604595	71677	105976	224424404	1467516
AL	NC_063213.1	29300001	29400000	0.0004049254551199	77640	95901	236836185	1670350
AL	NC_063213.1	29400001	29500000	0.00070501539452	80772	161397	228926916	1958592
AL	NC_063213.1	29500001	29600000	0.0008086833739272	74371	179312	221733259	1665190
AL	NC_063213.1	29600001	29700000	0.0005372520942334	82033	125873	234290385	1965138
AL	NC_063213.1	29700001	29800000	0.0002178225858374	79122	51712	237404215	1749434
AL	NC_063213.1	29800001	29900000	0.000475890206828	83745	121782	255903564	1791068
AL	NC_063213.1	29900001	30000000	0.0005859368116617	84727	157445	268706449	1692538
AL	NC_063213.1	30000001	30100000	0.0004868489242371	82342	129369	265727197	1591382
AL	NC_063213.1	30100001	30200000	0.0008568846748428	75931	233514	272515085	1138194
AL	NC_063213.1	30200001	30300000	0.0004281310298803	81824	113512	265133784	1567688
AL	NC_063213.1	30300001	30400000	0.000399691560911	83402	108467	271376758	1586364
AL	NC_063213.1	30400001	30500000	0.0007892508893875	80761	201944	255867941	1617842
AL	NC_063213.1	30500001	30600000	0.0008673362301548	81727	242214	279261942	1392800
AL	NC_063213.1	30600001	30700000	0.0003387593913748	84035	91077	268854539	1647694
AL	NC_063213.1	30700001	30800000	0.0002427980633109	83890	63877	263086942	1710772
AL	NC_063213.1	30800001	30900000	0.0005527169505482	82129	138101	249858449	1769178
AL	NC_063213.1	30900001	31000000	0.0002499779635426	80429	63724	254918470	1608736
AL	NC_063213.1	31000001	31100000	0.0006039674327581	84164	157650	261024008	1753560
AL	NC_063213.1	31100001	31200000	0.0006624118219343	83055	175880	265514585	1633338
AL	NC_063213.1	31200001	31300000	0.0005666329012001	82001	152202	268607770	1535936
AL	NC_063213.1	31300001	31400000	0.000566452327107	83582	149092	263203085	1690686
AL	NC_063213.1	31400001	31500000	0.0004875812416975	80671	125098	256568525	1601778
AL	NC_063213.1	31500001	31600000	0.000327412035829	85325	86904	265427017	1766194
AL	NC_063213.1	31600001	31700000	0.0006213798303789	74575	161118	259290682	1216312
AL	NC_063213.1	31700001	31800000	0.0004894721764006	81476	131760	269187926	1495636
AL	NC_063213.1	31800001	31900000	0.0004852104699483	83037	134257	276698481	1497618
AL	NC_063213.1	31900001	32000000	0.0007683137030246	83525	204694	266419822	1648272
AL	NC_063213.1	32000001	32100000	0.0005193300911016	83287	138325	266352754	1635560
AL	NC_063213.1	32100001	32200000	0.0004165394882659	79194	103069	247441126	1624868
AL	NC_063213.1	32200001	32300000	0.0004181122535882	80353	103589	247754040	1690444
AL	NC_063213.1	32300001	32400000	0.0001993243811126	85799	54594	273895244	1690204
AL	NC_063213.1	32400001	32500000	0.0004314119828871	85391	120384	279046491	1599798
AL	NC_063213.1	32500001	32600000	0.0007126594937578	84259	209169	293504825	1367834
AL	NC_063213.1	32600001	32700000	0.0004571233445846	85978	135781	297033616	1421328
AL	NC_063213.1	32700001	32800000	0.0004635409224786	81729	123350	266103798	1549288
AL	NC_063213.1	32800001	32900000	1.6137369897275893e-05	84150	4561	282635896	1491480
AL	NC_063213.1	32900001	33000000	0.000374578304422	85961	103649	276708498	1663824
AL	NC_063213.1	33000001	33100000	0.0005091219461625	84465	144474	283770914	1498144
